Interval=	0.0025 s
ExcelDateTime=	4.6155600778630804e+004	5/13/2026 14:25:07.273702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
31.735	-20.28125
31.7375	-10.1
31.74	5.05
31.7425	19.63125
31.745	23.9875
31.7475	17.66875
31.75	9.8125
31.7525	4.6125
31.755	1.1875
31.7575	0.56875
31.76	2.4625
31.7625	3.36875
31.765	0.6
31.7675	-4.8375
31.77	-11.29375
31.7725	-19.03125
31.775	-26.09375
31.7775	-30.3
31.78	-26.79375
31.7825	-8.88125
31.785	13.24375
31.7875	16.98125
31.79	-2.175
31.7925	-27.7
31.795	-44.50625
31.7975	-47.3875
31.8	-39.28125
31.8025	-27.88125
31.805	-19.20625
31.8075	-14.6875
31.81	-13.13125
31.8125	-13.65
31.815	-15.0125
31.8175	-15.625
31.82	-14.60625
31.8225	-10.95625
31.825	-6.33125
31.8275	-6.95625
31.83	-15.05
31.8325	-22.15625
31.835	-19.13125
31.8375	-8.20625
31.84	1.75
31.8425	5.075
31.845	1.11875
31.8475	-7.95625
31.85	-17.80625
31.8525	-22.2875
31.855	-18.1625
31.8575	-8.38125
31.86	-1.45
31.8625	-1.525
31.865	-2.76875
31.8675	-3.3
31.87	-8.6375
31.8725	-16.1375
31.875	-20.1125
31.8775	-21.24375
31.88	-20.875
31.8825	-20.5
31.885	-20.85
31.8875	-21.2375
31.89	-22.2
31.8925	-20.88125
31.895	-12.1
31.8975	-2.675
31.9	-1.025
31.9025	-2.0375
31.905	-0.84375
31.9075	-3.49375
31.91	-9.56875
31.9125	-7.91875
31.915	0.48125
31.9175	1.75
31.92	-8.825
31.9225	-21.83125
31.925	-28.23125
31.9275	-27.34375
31.93	-22.46875
31.9325	-16.41875
31.935	-8.45
31.9375	5.08125
31.94	18.7125
31.9425	19.54375
31.945	3.26875
31.9475	-22.775
31.95	-45.31875
31.9525	-50.26875
31.955	-38.025
31.9575	-22.975
31.96	-16.15625
31.9625	-20.4125
31.965	-32.4125
31.9675	-44.9625
31.97	-52.10625
31.9725	-52.25
31.975	-47.75
31.9775	-43.45625
31.98	-40
31.9825	-34.075
31.985	-25.7375
31.9875	-19.40625
31.99	-19.03125
31.9925	-24.725
31.995	-33.98125
31.9975	-43.21875
32	-48.4125
32.0025	-45.45
32.005	-33.9625
32.0075	-22.55625
32.01	-21.85625
32.0125	-31.50625
32.015	-41.35625
32.0175	-44.25625
32.02	-39.65
32.0225	-31.59375
32.025	-23.51875
32.0275	-17.45625
32.03	-14.2
32.0325	-10.73125
32.035	-8.71875
32.0375	-13.075
32.04	-22.15625
32.0425	-30.99375
32.045	-37.525
32.0475	-36.76875
32.05	-27
32.0525	-19.65625
32.055	-21.5125
32.0575	-25.9125
32.06	-28.9625
32.0625	-35.2125
32.065	-43.2875
32.0675	-45.4125
32.07	-41.36875
32.0725	-37.43125
32.075	-38.3875
32.0775	-42.19375
32.08	-43.68125
32.0825	-42.1625
32.085	-41.6
32.0875	-42.03125
32.09	-38.56875
32.0925	-31.9
32.095	-29.36875
32.0975	-33.54375
32.1	-39.05
32.1025	-39.325
32.105	-29.325
32.1075	-11.0375
32.11	1.68125
32.1125	-5.64375
32.115	-28.14375
32.1175	-46.64375
32.12	-50.06875
32.1225	-42.3
32.125	-31.175
32.1275	-20.44375
32.13	-12.3125
32.1325	-7.95625
32.135	-7.15
32.1375	-9.15625
32.14	-12.44375
32.1425	-15.8875
32.145	-19.23125
32.1475	-20.99375
32.15	-18.3375
32.1525	-11.96875
32.155	-4.84375
32.1575	-0.1625
32.16	1.68125
32.1625	5.59375
32.165	9.2625
32.1675	1.9625
32.17	-15.56875
32.1725	-30.24375
32.175	-36.075
32.1775	-35.40625
32.18	-30.5625
32.1825	-23.43125
32.185	-15.5
32.1875	-8.58125
32.19	-3.45625
32.1925	-0.0625
32.195	0.59375
32.1975	-0.26875
32.2	0.55625
32.2025	4.75625
32.205	10.61875
32.2075	11.7375
32.21	3.825
32.2125	-6.53125
32.215	-8.8375
32.2175	-3.3625
32.22	1.04375
32.2225	0.90625
32.225	-0.75
32.2275	-3.75
32.23	-8.89375
32.2325	-11.04375
32.235	-5.1375
32.2375	2.18125
32.24	-1.71875
32.2425	-16.275
32.245	-29.64375
32.2475	-37.16875
32.25	-40.075
32.2525	-38.39375
32.255	-33.95
32.2575	-28.075
32.26	-21.3875
32.2625	-16.34375
32.265	-14.29375
32.2675	-13.6875
32.27	-11.01875
32.2725	-4.81875
32.275	1.6875
32.2775	4.84375
32.28	5.43125
32.2825	6.00625
32.285	6.89375
32.2875	6.80625
32.29	4.55625
32.2925	1.225
32.295	-1.71875
32.2975	-5.1375
32.3	-8.45625
32.3025	-5.875
32.305	2.45625
32.3075	5.4625
32.31	-2.49375
32.3125	-15.05625
32.315	-23.46875
32.3175	-23.6
32.32	-17.91875
32.3225	-12.91875
32.325	-11.76875
32.3275	-11.575
32.33	-9.4875
32.3325	-10.6
32.335	-20.025
32.3375	-29.525
32.34	-28.2375
32.3425	-22.03125
32.345	-23
32.3475	-30.79375
32.35	-34.4
32.3525	-27.15625
32.355	-16.8625
32.3575	-15.06875
32.36	-21.70625
32.3625	-27.49375
32.365	-25.23125
32.3675	-16.3
32.37	-6.7375
32.3725	0.41875
32.375	6.6625
32.3775	10.30625
32.38	3.3125
32.3825	-17.5375
32.385	-39.64375
32.3875	-44.7375
32.39	-33.31875
32.3925	-23.2875
32.395	-25.95
32.3975	-35.89375
32.4	-44.29375
32.4025	-46.94375
32.405	-44.1375
32.4075	-42.19375
32.41	-45.9875
32.4125	-52.5375
32.415	-55.875
32.4175	-52.9375
32.42	-45.6
32.4225	-39.99375
32.425	-42.225
32.4275	-52.525
32.43	-64.90625
32.4325	-70.53125
32.435	-64.60625
32.4375	-51.2125
32.44	-37.6625
32.4425	-30.10625
32.445	-31.80625
32.4475	-38.51875
32.45	-39.3125
32.4525	-32.5625
32.455	-27.1625
32.4575	-27.6125
32.46	-30.925
32.4625	-33.325
32.465	-33.60625
32.4675	-30.16875
32.47	-24.35625
32.4725	-21.175
32.475	-21.31875
32.4775	-20.00625
32.48	-17.55
32.4825	-17.90625
32.485	-19.375
32.4875	-20.14375
32.49	-21.2
32.4925	-23.1
32.495	-27.95625
32.4975	-34.68125
32.5	-37.7375
32.5025	-38.8125
32.505	-43.225
32.5075	-48.35
32.51	-52.03125
32.5125	-57
32.515	-60.9375
32.5175	-57.75
32.52	-49.14375
32.5225	-45.64375
32.525	-50.96875
32.5275	-57.76875
32.53	-60.7
32.5325	-61.29375
32.535	-59.7375
32.5375	-53.45
32.54	-44.2375
32.5425	-38.625
32.545	-38.675
32.5475	-39.95625
32.55	-37.9375
32.5525	-29.41875
32.555	-17.18125
32.5575	-10.35625
32.56	-13.01875
32.5625	-20.025
32.565	-25.28125
32.5675	-25.95
32.57	-19.83125
32.5725	-7.21875
32.575	3.35
32.5775	0.70625
32.58	-13.6375
32.5825	-27.4125
32.585	-32.74375
32.5875	-30.8375
32.59	-26
32.5925	-20.41875
32.595	-15.88125
32.5975	-17.05625
32.6	-25.86875
32.6025	-37.15625
32.605	-42.58125
32.6075	-39.8
32.61	-36.1375
32.6125	-38.63125
32.615	-44.98125
32.6175	-48.20625
32.62	-46.1
32.6225	-42.4375
32.625	-38.23125
32.6275	-30.95
32.63	-24.675
32.6325	-24.69375
32.635	-28.18125
32.6375	-30.75625
32.64	-32.76875
32.6425	-34.61875
32.645	-36.2
32.6475	-37
32.65	-35.6125
32.6525	-31.34375
32.655	-24.93125
32.6575	-19.6375
32.66	-19.2
32.6625	-23.91875
32.665	-27.4
32.6675	-23.61875
32.67	-13.45
32.6725	-4.1625
32.675	-3.4625
32.6775	-10.075
32.68	-15.39375
32.6825	-15.45625
32.685	-12.75625
32.6875	-10
32.69	-9.5625
32.6925	-8.91875
32.695	-7.26875
32.6975	-13.1375
32.7	-28.54375
32.7025	-41.29375
32.705	-43.35
32.7075	-38.10625
32.71	-30.49375
32.7125	-23.76875
32.715	-18.26875
32.7175	-13.325
32.72	-8.44375
32.7225	-1.55625
32.725	4.9125
32.7275	2.15
32.73	-9.8375
32.7325	-18.1125
32.735	-14.78125
32.7375	-4.60625
32.74	4.20625
32.7425	4.94375
32.745	-3.8625
32.7475	-15.96875
32.75	-23.875
32.7525	-24.425
32.755	-17.54375
32.7575	-7.01875
32.76	-0.425
32.7625	-0.8625
32.765	-4.5625
32.7675	-9.10625
32.77	-15.1375
32.7725	-20.2125
32.775	-22.7875
32.7775	-26.69375
32.78	-32.2625
32.7825	-33.3875
32.785	-27.91875
32.7875	-20.48125
32.79	-15.69375
32.7925	-16.25
32.795	-23.4625
32.7975	-32.66875
32.8	-34.74375
32.8025	-28.73125
32.805	-22.5
32.8075	-19.1875
32.81	-19.3125
32.8125	-27.5125
32.815	-41.425
32.8175	-48.59375
32.82	-43.975
32.8225	-33.4875
32.825	-22.025
32.8275	-12.325
32.83	-7.125
32.8325	-5.6125
32.835	-5.175
32.8375	-5.23125
32.84	-5.3
32.8425	-5.21875
32.845	-7.06875
32.8475	-10.05625
32.85	-10.96875
32.8525	-11.7
32.855	-14.8
32.8575	-16.89375
32.86	-16.2125
32.8625	-16.53125
32.865	-17.15
32.8675	-13.8625
32.87	-7.35625
32.8725	-1.825
32.875	-0.7875
32.8775	-4.79375
32.88	-11.35625
32.8825	-16.54375
32.885	-15.56875
32.8875	-6.8875
32.89	-0.84375
32.8925	-5.26875
32.895	-10.96875
32.8975	-9.7375
32.9	-4.83125
32.9025	-0.64375
32.905	1.8125
32.9075	2.84375
32.91	5.1875
32.9125	8.1875
32.915	7.5875
