Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
154.0275	-47.40625
154.03	-38.175
154.0325	-33.24375
154.035	-32.1
154.0375	-29.4375
154.04	-23.86875
154.0425	-21.25625
154.045	-23.63125
154.0475	-25.1125
154.05	-24.04375
154.0525	-27.05625
154.055	-38.875
154.0575	-52.625
154.06	-58.24375
154.0625	-56.4
154.065	-54.35
154.0675	-55.40625
154.07	-58.5
154.0725	-62.0125
154.075	-65.60625
154.0775	-65.6875
154.08	-59.45625
154.0825	-55.60625
154.085	-61.29375
154.0875	-69.2125
154.09	-77.45625
154.0925	-94.61875
154.095	-114.1687
154.0975	-123.325
154.1	-129.3937
154.1025	-145.8562
154.105	-169.6812
154.1075	-189.4812
154.11	-200.5562
154.1125	-202.15
154.115	-193.8687
154.1175	-179.85
154.12	-170.4812
154.1225	-173.1
154.125	-183.7875
154.1275	-193.9625
154.13	-200.0937
154.1325	-203.45
154.135	-204.3375
154.1375	-199.5937
154.14	-187.075
154.1425	-171.6375
154.145	-159.7813
154.1475	-151.6125
154.15	-144.8812
154.1525	-138.1625
154.155	-129.3187
154.1575	-116.7375
154.16	-102.0687
154.1625	-88.825
154.165	-79.89375
154.1675	-78.35625
154.17	-82.75625
154.1725	-84.4875
154.175	-77.525
154.1775	-65.03125
154.18	-56.55625
154.1825	-59.4375
154.185	-67.3
154.1875	-66.69375
154.19	-54.24375
154.1925	-36.45
154.195	-20.0375
154.1975	-9.8
154.2	-7.09375
154.2025	-6.925
154.205	-0.4875
154.2075	12.61875
154.21	23.6
154.2125	28.1
154.215	27.45625
154.2175	23.14375
154.22	18.29375
154.2225	15.8125
154.225	15.60625
154.2275	17.0125
154.23	19.18125
154.2325	20.025
154.235	18.3375
154.2375	17.03125
154.24	20.8625
154.2425	34.55625
154.245	53.86875
154.2475	65.58125
154.25	64.1625
154.2525	54.05
154.255	42.4375
154.2575	39.225
154.26	48.6
154.2625	61.29375
154.265	68.375
154.2675	67.15625
154.27	59.0875
154.2725	50.65
154.275	45.625
154.2775	43.75625
154.28	46.7875
154.2825	53.69375
154.285	57.20625
154.2875	53.33125
154.29	46.89375
154.2925	45.20625
154.295	48.4125
154.2975	49.1125
154.3	42.16875
154.3025	35.04375
154.305	38.38125
154.3075	52.25
154.31	68.4625
154.3125	79.91875
154.315	84.93125
154.3175	80.9625
154.32	68.1
154.3225	54.25
154.325	47.0125
154.3275	46.4625
154.33	47.54375
154.3325	39.9625
154.335	18.4625
154.3375	-2.86875
154.34	-8.50625
